MTR3344, Suzuki, Gixxer, 2019, 155 cc, Motocicleta
JKL5678, Toyota, Corolla, 2019, 4, Auto
MTR1122, Yamaha, FZ-16, 2020, 150 cc, Motocicleta
ABC1234, Nissan, Versa, 2020, 4 puertas, Auto
VWX2345, Chevrolet, Aveo, 2017, 4 puertas, Auto
MTR6677, KTM, Duke 250, 2021, 250 cc, Motocicleta
YZA6789, Hyundai, Elantra, 2020, 4 puertas, Auto
MTR7788, BMW, G310R, 2020, 313 cc, Motocicleta
PQR3456, Mazda, 3, 2018, 5 puertas, Auto
MTR5566, Italika, DM200, 2018, 200 cc, Motocicleta
MTR2233, Honda, CB190R, 2021, 190 cc, Motocicleta
STU7890, Ford, Focus, 2022, 5 puertas, Auto
EFG4567, Volkswagen, Jetta, 2021, 4 puertas, Auto
MTR4455, Bajaj, Pulsar NS200, 2022, 200 cc, Motocicleta
BCD0123, Kia, Rio, 2019, 4 puertas, Auto
HIJ8901, Subaru, Impreza, 2022, 5 puertas, Auto
MTR8899, Yamaha, MT-03, 2022, 321 cc, Motocicleta
MTR9900, Kawasaki, Ninja 400, 2023, 400 cc, Motocicleta
MTR0011, Ducati, Monster 797, 2019, 803 cc, Motocicleta
MNO8912, Honda, Civic, 2021, 4 puertas, Auto